votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S357,S331,S293,S153,S407,S387,S388,S399,S359,S408,S361,S344,S395,S236,S345,S362,S406,S389,S363,S311,S378,S057,S346,S405,S409,S410,S338,S369,S411,S174,S306,S322,S347,S288,S364,S229,S348,S380,S349,S259,S323,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S412,S390,S327,S366,S316,S318,S247,S391,S414,S413,S415
140,117-1-140,2021-03-25 13:28:00,3/5,Bill Passed,On Passage of the Bill H.R. 1799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
141,117-1-141,2021-03-25 14:19:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1411 to H.R. 1868 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,3,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,3,1,0,0,1,0,1,0,1,1,0,1,1,0,3,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
142,117-1-142,2021-03-25 14:54:00,3/5,Bill Passed,On Passage of the Bill H.R. 1868,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,1.0,1.0,1.0
143,117-1-143,2021-04-12 17:30:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN117,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,,1,1,1,1,1,1,1,1,3,3,1,3,0,1,1,1,1,1,1,1,3,1,1,1,1,0,0,1,0,1,1,1,1,1,1,3,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
144,117-1-144,2021-04-13 14:15:00,1/2,Nomination Confirmed,On the Nomination PN117,1,1,1,0,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,3,1,0,1,1,1,1,1,1,1,1.0,1.0,3.0
145,117-1-145,2021-04-13 14:55:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79-12,1,0,1,0,1,0,3,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,1,0,1,0,1.0,1.0,3.0
146,117-1-146,2021-04-13 17:26:00,1/2,Nomination Confirmed,On the Nomination PN79-12,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
147,117-1-147,2021-04-13 18:11:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN80,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
148,117-1-148,2021-04-14 11:42:00,1/2,Nomination Confirmed,On the Nomination PN80,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
149,117-1-149,2021-04-14 12:28:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79-7,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
150,117-1-150,2021-04-14 15:34:00,1/2,Nomination Confirmed,On the Nomination PN79-7,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
151,117-1-151,2021-04-14 16:14:00,3/5,Cloture on the Motion to Proceed Agreed to,On Cloture on the Motion to Proceed S. 937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
152,117-1-152,2021-04-15 12:02:00,1/2,Motion to Proceed Agreed to,On the Motion to Proceed S. 937,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,3,0,1,1,3,0,1,1,0,1,3,1,0,0,1,3,0,3,0,1,1,0,0,1,0,1,1,1,0,1,0,3,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
153,117-1-153,2021-04-15 15:55:00,1/2,Motion to Discharge Agreed to,On the Motion to Discharge PN79-4,1,3,1,0,1,0,1,0,3,1,3,1,0,1,1,1,0,0,1,0,1,0,0,0,0,3,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,3,0,1,1,0,1,1,0,1,0,,1,3,1,1,3,0,1,1,3,0,1,1,3,1,3,1,3,3,1,3,0,1,0,1,1,0,0,1,0,1,1,1,0,3,3,3,3,0,1,1,1,1,0,1,0,1.0,1.0,1.0
154,117-1-154,2021-04-19 17:31:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
155,117-1-155,2021-04-19 18:12:00,1/2,Motion to Proceed Agreed to,On the Motion to Proceed PN79-4,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,3,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
156,117-1-156,2021-04-20 14:16:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN81,1,0,1,0,1,0,1,0,0,1,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,3,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
157,117-1-157,2021-04-20 17:02:00,1/2,Nomination Confirmed,On the Nomination PN81,1,0,1,0,1,0,1,0,0,1,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
158,117-1-158,2021-04-20 17:42:00,1/2,Nomination Confirmed,On the Nomination PN79-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
159,117-1-159,2021-04-21 11:39:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79-4,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
160,117-1-160,2021-04-21 14:31:00,1/2,Nomination Confirmed,On the Nomination PN79-4,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
161,117-1-161,2021-04-21 17:58:00,1/2,Motion to Discharge Agreed to,On the Motion to Discharge PN79-6,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
162,117-1-162,2021-04-22 11:47:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 1456 to S.Amdt. 1445 to S. 937 (COVID-19 Hate Crimes Act),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,3,1,0,3,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,3,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
163,117-1-163,2021-04-22 12:27:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 1425 to S.Amdt. 1445 to S. 937 (COVID-19 Hate Crimes Act),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,3,1,0,3,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,3,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
164,117-1-164,2021-04-22 13:11:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 1458 to S.Amdt. 1445 to S. 937 (COVID-19 Hate Crimes Act),0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,0,0,0,0,1,1,1,1,0,0,1,0,3,1,0,3,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,3,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
165,117-1-165,2021-04-22 13:45:00,3/5,Bill Passed,On Passage of the Bill S. 937,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
166,117-1-166,2021-04-26 17:32:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79-9,1,1,1,0,1,1,1,1,0,1,1,1,1,3,1,1,1,1,1,1,1,0,3,0,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,0,1,1,3,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
167,117-1-167,2021-04-27 11:31:00,1/2,Nomination Confirmed,On the Nomination PN79-9,1,1,1,0,1,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,3,1,1,1,1,1,3,0,1,3,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
168,117-1-168,2021-04-27 12:17:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79-8,1,0,1,0,1,3,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,3,0,0,0,1,1,0,1,0,1,0,1,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,0,1,0,0,1,1,0,1,1,1,3,1,0,1,0,0,1,3,0,1,0,1,1,3,0,1,3,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
169,117-1-169,2021-04-27 14:30:00,1/2,Nomination Confirmed,On the Nomination PN79-8,1,0,1,0,1,3,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,3,0,0,0,1,1,0,1,0,1,0,1,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,0,1,0,0,1,1,0,1,1,1,3,1,0,1,0,0,1,3,0,1,0,1,1,3,0,1,3,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
170,117-1-170,2021-04-27 15:10:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79-6,1,0,1,0,1,3,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,3,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,3,1,0,1,0,0,1,3,0,1,0,1,1,3,0,1,3,1,1,1,0,1,0,0,0,0,1,1,1,3,0,1,0,1.0,1.0,1.0
171,117-1-171,2021-04-27 17:45:00,1/2,Nomination Confirmed,On the Nomination PN79-6,1,0,1,0,1,3,1,0,0,1,0,3,0,1,1,1,0,0,1,0,1,0,3,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,3,1,0,1,0,0,1,3,0,1,0,1,1,0,0,1,3,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
172,117-1-172,2021-04-27 18:29:00,3/5,Cloture on the Motion to Proceed Agreed to,On Cloture on the Motion to Proceed S. 914,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
173,117-1-173,2021-04-28 12:30:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN114,1,0,1,0,1,1,1,0,0,1,1,3,1,1,1,1,0,1,1,1,1,0,3,1,0,0,1,1,0,1,1,1,1,0,0,,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,0,1,1,1,1,0,0,1,3,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1.0,1.0,1.0
174,117-1-174,2021-04-28 15:31:00,1/2,Nomination Confirmed,On the Nomination PN114,1,0,1,0,1,1,1,0,0,1,1,3,1,1,1,1,0,1,1,1,1,0,3,1,0,0,1,1,0,1,1,1,1,0,0,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,0,1,1,1,1,0,0,1,3,1,1,1,0,1,0,0,3,0,1,1,1,1,1,1,1,1.0,1.0,1.0
175,117-1-175,2021-04-28 16:20:00,1/2,Joint Resolution Passed,On the Joint Resolution S.J.Res. 14,1,0,1,0,1,0,1,0,0,1,0,3,0,1,1,1,0,1,1,0,1,0,3,0,0,0,1,1,0,1,0,1,1,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,3,1,1,1,0,0,1,3,0,1,0,1,1,0,0,1,3,1,1,1,0,1,0,0,3,0,1,1,1,1,0,1,0,1.0,1.0,1.0
176,117-1-176,2021-04-29 11:37:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1471 to S.Amdt. 1460 to S. 914 (Drinking Water and Wastewater Infrastructure Act of 2021),0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,3,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0
177,117-1-177,2021-04-29 12:27:00,3/5,Amendment Rejected,On the Amendment S.Amdt. 1472 to S.Amdt. 1460 to S. 914 (Drinking Water and Wastewater Infrastructure Act of 2021),0,1,0,1,0,0,0,1,1,0,1,3,0,0,0,0,1,0,0,1,0,1,3,1,1,1,0,0,1,0,1,0,0,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,3,0,1,0,1,1,0,3,1,0,1,0,0,1,1,0,3,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0
178,117-1-178,2021-04-29 13:36:00,3/5,Bill Passed,On Passage of the Bill S. 914,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1.0,1.0,1.0
179,117-1-179,2021-05-10 17:30:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN125,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,,1,0,3,1,1,0,1,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,3,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,3,0,1,1,1,1,0,1,0,1.0,1.0,1.0
180,117-1-180,2021-05-11 11:39:00,1/2,Nomination Confirmed,On the Nomination PN125,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,3,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
181,117-1-181,2021-05-11 12:20:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN128,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,3,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
182,117-1-182,2021-05-11 14:27:00,1/2,Nomination Confirmed,On the Nomination PN128,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,3,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
183,117-1-183,2021-05-11 17:35:00,1/2,Joint Resolution Passed,On the Joint Resolution S.J.Res. 15,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
184,117-1-184,2021-05-12 12:00:00,1/2,Motion to Discharge Agreed to,On the Motion to Discharge PN124,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
185,117-1-185,2021-05-12 13:18:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN246,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,,1,0,3,1,1,1,0,0,1,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,3,1.0,1.0,1.0
186,117-1-186,2021-05-12 15:30:00,1/2,Nomination Confirmed,On the Nomination PN246,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,,1,0,3,1,1,1,0,0,1,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1.0,1.0,1.0
187,117-1-187,2021-05-12 16:21:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN245,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,,1,0,3,1,1,1,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1.0,1.0,1.0
188,117-1-188,2021-05-12 17:52:00,1/2,Nomination Confirmed,On the Nomination PN245,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,,1,0,3,1,1,1,0,0,0,1,1,0,1,1,0,3,0,,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1.0,1.0,1.0
189,117-1-189,2021-05-12 18:33:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN244,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,3,0,,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
190,117-1-190,2021-05-13 12:02:00,1/2,Nomination Confirmed,On the Nomination PN244,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,3,1,1,1,0,1,1,1,0,,1,0,3,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,3,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
191,117-1-191,2021-05-13 13:47:00,1/2,Nomination Confirmed,On the Nomination PN79-3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,3,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
