votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S357,S331,S293,S153,S407,S387,S388,S399,S359,S408,S361,S344,S395,S236,S345,S362,S406,S389,S363,S311,S378,S057,S346,S405,S409,S410,S338,S369,S411,S174,S306,S322,S347,S288,S364,S229,S348,S380,S349,S259,S323,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S412,S390,S327,S366,S316,S318,S247,S391,S414,S413,S415
31,117-1-31,2021-02-04 23:26:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
32,117-1-32,2021-02-04 23:52:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 678 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
33,117-1-33,2021-02-05 00:18:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 542 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
34,117-1-34,2021-02-05 00:37:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 821 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
35,117-1-35,2021-02-05 01:07:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 558 to S.Con.Res. 5 (No short title on file),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
36,117-1-36,2021-02-05 01:27:00,3/5,Motion Rejected,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Cotton Amdt No. 66),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
37,117-1-37,2021-02-05 01:49:00,3/5,Motion Rejected,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Cassidy Amdt. No. 483),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
38,117-1-38,2021-02-05 02:09:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 782 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
39,117-1-39,2021-02-05 02:23:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 441 to S.Con.Res. 5 (No short title on file),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
40,117-1-40,2021-02-05 02:34:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 770 to S.Con.Res. 5 (No short title on file),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
