votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S370,S343,S397,S416,S307,S417,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S418,S357,S331,S293,S153,S407,S388,S399,S359,S408,S361,S344,S395,S345,S362,S406,S389,S363,S311,S378,S346,S409,S410,S338,S369,S411,S174,S306,S322,S347,S419,S288,S364,S229,S414,S413,S348,S380,S259,S423,S323,S401,S402,S381,S350,S313,S353,S420,S270,S404,S365,S324,S403,S394,S284,S383,S314,S303,S384,S412,S390,S421,S327,S415,S366,S422,S316,S318,S247,S391,S424
33,118-1-33,2023-03-01 12:33:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN170,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,
34,118-1-34,2023-03-01 14:23:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN171,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
35,118-1-35,2023-03-01 16:08:00,1/2,Joint Resolution Passed,On the Joint Resolution H.J.Res. 30,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,3,1,1,0,0,1,3.0,3,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,3,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,
36,118-1-36,2023-03-01 16:53:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN175,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,
37,118-1-37,2023-03-02 11:55:00,1/2,Nomination Confirmed,On the Nomination PN170,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,3,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,3,1,1,0,0,1,0,1,1,0,0,1,3,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,3,1,0,1,1,1,1,3,0,1,0,
38,118-1-38,2023-03-02 12:41:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN176,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,3,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,1,1,1,1,1,3,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,3,3,1,0,1,1,1,1,3,0,1,0,
39,118-1-39,2023-03-02 13:45:00,1/2,Nomination Confirmed,On the Nomination PN171,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,3,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,3,0,1,0,1,1,0,0,1,3,3,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,3,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,3,0,1,0,
40,118-1-40,2023-03-06 17:31:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN166,1,3,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,3,1,1,1,0,3,1,0,1,0,0,1,1,1,1,3,1,0,1,0,1,0,1,1,1,1,1,0,1,0,
41,118-1-41,2023-03-07 11:32:00,1/2,Nomination Confirmed,On the Nomination PN166,1,3,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,3,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,
42,118-1-42,2023-03-07 12:26:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN178,1,3,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,3,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
